Entry_Time,Exit_Time,Type,Lots,Entry_Price,Exit_Price,Result,PnL,Balance_After,Daily_PnL
2026-05-28 07:50:07,2026-05-29 10:07:09,BUY,0.22,213.718,213.706,SL_HIT,-1.42,9998.58,-1.42
2026-06-02 10:15:02,2026-06-02 15:24:52,SELL,0.3,215.087,215.339,SL_HIT,-40.61,9957.96,-40.61
2026-06-10 08:55:06,2026-06-10 11:35:18,SELL,0.3,214.723,214.854,SL_HIT,-21.2,9936.76,-21.2
2026-06-12 09:35:07,2026-06-12 17:29:43,SELL,0.3,214.761,215.022,SL_HIT,-42.2,9894.56,-42.2
2026-07-13 09:14:59,2026-07-14 14:29:55,SELL,0.27,216.985,217.339,SL_HIT,-51.6,9842.96,-51.6
2026-07-15 10:49:56,2026-07-15 13:53:20,SELL,0.27,217.376,217.716,SL_HIT,-49.54,9793.41,-49.54
2026-07-17 08:35:00,2026-07-17 08:56:15,BUY,0.3,218.76,218.522,SL_HIT,-38.44,9754.97,-38.44
2026-07-28 07:25:00,2026-07-28 09:22:12,SELL,0.3,217.585,217.839,SL_HIT,-40.92,9714.05,-40.92
2026-07-29 09:25:01,2026-07-29 21:14:32,BUY,0.22,217.559,218.404,TP_HIT,99.37,9813.43,99.37
2026-07-30 08:32:11,2026-07-30 08:48:07,BUY,0.3,218.163,218.264,TP_HIT,16.18,9829.6,16.18
2026-08-14 08:24:56,2026-08-14 12:20:13,BUY,0.3,215.009,215.306,TP_HIT,48.45,9878.05,48.45
2026-08-18 07:59:57,2026-08-18 08:01:20,SELL,0.3,216.193,216.092,TP_HIT,16.4,9894.45,16.4
